Natural Electric LLC,,,,
Transaction Report,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
51400 Job Materials Purchased,,,,
,51400 Job Materials Purchased,10/24/2019,Expense,$9.12
,51400 Job Materials Purchased,12/20/2019,Bill,"$1,087.81"
,51400 Job Materials Purchased,12/27/2019,Vendor Credit,-$14.93
,51400 Job Materials Purchased,12/27/2019,Bill,$991.06
,51400 Job Materials Purchased,12/27/2019,Bill,$52.16
,51400 Job Materials Purchased,12/30/2019,Bill,$73.83
,51400 Job Materials Purchased,01/02/2020,Bill,"$1,718.64"
,51400 Job Materials Purchased,01/03/2020,Bill,$593.86
,51400 Job Materials Purchased,01/06/2020,Bill,$616.44
,51400 Job Materials Purchased,01/09/2020,Bill,"$2,488.93"
,51400 Job Materials Purchased,01/09/2020,Bill,$846.20
,51400 Job Materials Purchased,01/09/2020,Bill,$797.34
,51400 Job Materials Purchased,01/09/2020,Bill,$158.27
,51400 Job Materials Purchased,01/09/2020,Bill,$316.54
,51400 Job Materials Purchased,01/13/2020,Bill,$55.54
,51400 Job Materials Purchased,01/13/2020,Expense,$41.94
,51400 Job Materials Purchased,01/15/2020,Bill,$37.54
,51400 Job Materials Purchased,01/15/2020,Bill,$65.71
,51400 Job Materials Purchased,01/15/2020,Expense,$1.27
,51400 Job Materials Purchased,01/16/2020,Expense,$36.55
,51400 Job Materials Purchased,01/20/2020,Bill,$43.34
,51400 Job Materials Purchased,01/20/2020,Bill,$117.95
,51400 Job Materials Purchased,01/20/2020,Bill,$57.32
,51400 Job Materials Purchased,01/21/2020,Expense,$11.88
,51400 Job Materials Purchased,01/22/2020,Bill,$431.79
,51400 Job Materials Purchased,01/22/2020,Bill,$411.69
,51400 Job Materials Purchased,03/04/2020,Bill,$384.05
,51400 Job Materials Purchased,03/06/2020,Bill,"$1,637.68"
,51400 Job Materials Purchased,03/11/2020,Vendor Credit,-$176.56
,51400 Job Materials Purchased,03/17/2020,Bill,"$1,431.54"
,51400 Job Materials Purchased,03/17/2020,Bill,"$2,608.85"
,51400 Job Materials Purchased,03/23/2020,Vendor Credit,"-$1,356.92"
,51400 Job Materials Purchased,04/01/2020,Bill,$443.55
,51400 Job Materials Purchased,05/01/2020,Bill,$283.64
,51400 Job Materials Purchased,06/17/2020,Expense,$28.21
,51400 Job Materials Purchased,06/23/2020,Expense,$7.68
,51400 Job Materials Purchased,06/25/2020,Expense,$35.36
,51400 Job Materials Purchased,06/26/2020,Expense,$26.85
,51400 Job Materials Purchased,06/30/2020,Expense,$53.03
,51400 Job Materials Purchased,07/01/2020,Bill,$51.75
,51400 Job Materials Purchased,07/01/2020,Bill,$499.70
,51400 Job Materials Purchased,07/01/2020,Expense,$42.14
,51400 Job Materials Purchased,07/06/2020,Expense,$14.19
,51400 Job Materials Purchased,07/07/2020,Expense,$7.16
,51400 Job Materials Purchased,07/13/2020,Bill,$374.62
,51400 Job Materials Purchased,07/13/2020,Expense,$68.22
,51400 Job Materials Purchased,07/14/2020,Expense,$28.63
,51400 Job Materials Purchased,07/14/2020,Expense,$28.63
,51400 Job Materials Purchased,07/14/2020,Expense,$8.52
,51400 Job Materials Purchased,07/15/2020,Bill,$393.18
,51400 Job Materials Purchased,07/15/2020,Expense,$28.17
,51400 Job Materials Purchased,07/29/2020,Expense,$21.51
,51400 Job Materials Purchased,07/30/2020,Expense,$6.21
,51400 Job Materials Purchased,08/02/2020,Expense,$12.25
,51400 Job Materials Purchased,08/04/2020,Bill,$497.39
,51400 Job Materials Purchased,08/09/2020,Expense,$52.02
,51400 Job Materials Purchased,08/10/2020,Expense,$47.77
,51400 Job Materials Purchased,08/12/2020,Bill,"$1,527.97"
,51400 Job Materials Purchased,08/14/2020,Bill,$204.57
,51400 Job Materials Purchased,08/14/2020,Bill,$713.01
,51400 Job Materials Purchased,08/14/2020,Expense,$39.43
,51400 Job Materials Purchased,08/19/2020,Expense,$30.76
,51400 Job Materials Purchased,08/24/2020,Bill,"$1,514.20"
,51400 Job Materials Purchased,08/25/2020,Bill,$92.53
,51400 Job Materials Purchased,08/26/2020,Bill,$142.60
,51400 Job Materials Purchased,08/26/2020,Bill,$71.45
,51400 Job Materials Purchased,08/26/2020,Expense,$69.95
,51400 Job Materials Purchased,08/27/2020,Bill,$570.41
,51400 Job Materials Purchased,08/28/2020,Bill,$134.11
,51400 Job Materials Purchased,08/28/2020,Bill,$78.54
,51400 Job Materials Purchased,08/28/2020,Bill,$205.30
,51400 Job Materials Purchased,08/31/2020,Bill,$245.38
,51400 Job Materials Purchased,08/31/2020,Expense,$63.09
,51400 Job Materials Purchased,09/01/2020,Bill,$85.06
,51400 Job Materials Purchased,09/01/2020,Bill,$215.97
,51400 Job Materials Purchased,09/01/2020,Expense,$24.67
,51400 Job Materials Purchased,09/02/2020,Bill,$38.18
,51400 Job Materials Purchased,09/02/2020,Bill,$595.57
,51400 Job Materials Purchased,09/17/2020,Bill,"$1,617.08"
,51400 Job Materials Purchased,09/21/2020,Expense,$19.22
,51400 Job Materials Purchased,09/22/2020,Expense,$19.24
,51400 Job Materials Purchased,09/23/2020,Bill,$29.62
,51400 Job Materials Purchased,09/24/2020,Bill,$63.38
,51400 Job Materials Purchased,09/24/2020,Bill,$40.57
,51400 Job Materials Purchased,09/24/2020,Bill,$152.71
,51400 Job Materials Purchased,09/24/2020,Bill,$266.04
