Natural Electric LLC,,,,
Transaction Report,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
61000 Business Licenses and Permits,,,,
,61000 Business Licenses and Permits,10/24/2019,Expense,$37.00
,61000 Business Licenses and Permits,10/31/2019,Expense,$114.20
,61000 Business Licenses and Permits,11/13/2020,Expense,$206.41
Total for 61000 Business Licenses and Permits,,,,$357.61
Fuel,,,,
,Fuel,01/10/2020,Expense,$6.70
,Fuel,01/13/2020,Expense,$10.00
,Fuel,01/16/2020,Expense,$18.71
,Fuel,06/09/2020,Expense,$14.96
,Fuel,06/10/2020,Expense,$46.45
,Fuel,06/11/2020,Expense,$34.17
,Fuel,06/11/2020,Expense,$50.00
,Fuel,06/13/2020,Expense,$50.00
,Fuel,06/14/2020,Expense,$148.68
,Fuel,06/14/2020,Expense,$32.48
,Fuel,06/15/2020,Expense,$40.95
,Fuel,06/16/2020,Expense,$36.29
,Fuel,06/18/2020,Expense,$51.00
,Fuel,06/19/2020,Expense,$15.00
,Fuel,06/19/2020,Expense,$34.87
,Fuel,06/22/2020,Expense,$35.71
,Fuel,06/24/2020,Expense,$49.42
,Fuel,06/25/2020,Expense,$34.67
,Fuel,06/25/2020,Expense,$49.05
,Fuel,06/27/2020,Expense,$50.00
,Fuel,06/30/2020,Expense,$39.12
,Fuel,06/30/2020,Expense,$50.00
,Fuel,07/03/2020,Expense,$50.00
,Fuel,07/03/2020,Expense,$50.00
,Fuel,07/06/2020,Expense,$53.00
,Fuel,07/06/2020,Expense,$53.00
,Fuel,07/16/2020,Expense,$39.30
,Fuel,07/17/2020,Expense,$50.65
,Fuel,07/21/2020,Expense,$55.25
,Fuel,07/22/2020,Expense,$44.75
,Fuel,07/27/2020,Expense,$50.86
,Fuel,07/28/2020,Expense,$49.14
,Fuel,07/29/2020,Expense,$25.30
,Fuel,07/30/2020,Expense,$21.98
,Fuel,07/31/2020,Expense,$20.00
,Fuel,08/01/2020,Expense,$20.00
,Fuel,08/03/2020,Expense,$20.00
,Fuel,08/04/2020,Expense,$4.99
,Fuel,08/06/2020,Expense,$20.00
,Fuel,08/07/2020,Expense,$2.99
,Fuel,08/10/2020,Expense,$2.99
,Fuel,08/10/2020,Expense,$20.00
,Fuel,08/11/2020,Expense,$7.98
,Fuel,08/13/2020,Expense,$2.99
,Fuel,08/14/2020,Expense,$20.73
,Fuel,08/17/2020,Expense,$2.99
,Fuel,08/20/2020,Expense,$2.99
,Fuel,08/20/2020,Expense,$22.24
,Fuel,08/24/2020,Expense,$7.98
,Fuel,08/25/2020,Expense,$10.97
,Fuel,08/26/2020,Expense,$5.98
,Fuel,08/27/2020,Expense,$2.99
,Fuel,08/27/2020,Expense,$23.00
,Fuel,08/31/2020,Expense,$4.50
,Fuel,08/31/2020,Expense,$5.35
,Fuel,08/31/2020,Expense,$5.98
,Fuel,09/02/2020,Expense,$2.39
,Fuel,09/03/2020,Expense,$26.01
,Fuel,09/17/2020,Expense,$20.00
,Fuel,09/22/2020,Expense,$20.00
,Fuel,09/28/2020,Expense,$5.98
,Fuel,09/28/2020,Expense,$20.00
,Fuel,09/29/2020,Expense,$9.98
,Fuel,09/30/2020,Expense,$5.98
,Fuel,10/01/2020,Expense,$5.98
