Natural Electric LLC,,,,
Clewiston Expense 2,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
Fuel,,,,
,Fuel,10/04/2019,Expense,$8.31
,Fuel,10/04/2019,Expense,$100.00
,Fuel,10/10/2019,Expense,$112.00
,Fuel,10/23/2019,Expense,$33.91
,Fuel,10/24/2019,Expense,$90.00
,Fuel,10/29/2019,Expense,$75.00
,Fuel,10/30/2019,Expense,$29.45
,Fuel,10/31/2019,Expense,$23.29
,Fuel,10/31/2019,Expense,$111.00
,Fuel,11/03/2019,Expense,$20.00
,Fuel,11/08/2019,Expense,$31.93
,Fuel,11/11/2019,Expense,$33.27
,Fuel,11/18/2019,Expense,$36.46
,Fuel,11/25/2019,Expense,$33.88
,Fuel,11/28/2019,Expense,$22.44
,Fuel,12/02/2019,Expense,$19.51
,Fuel,12/09/2019,Expense,$10.59
,Fuel,12/11/2019,Expense,$20.40
,Fuel,12/17/2019,Expense,$32.82
,Fuel,12/24/2019,Expense,$110.05
,Fuel,12/30/2019,Expense,$30.79
,Fuel,01/08/2020,Expense,$10.01
,Fuel,01/09/2020,Expense,$35.30
,Fuel,01/10/2020,Expense,$24.80
,Fuel,01/13/2020,Expense,$30.70
,Fuel,01/21/2020,Expense,$30.10
,Fuel,01/22/2020,Expense,$12.31
,Fuel,01/24/2020,Expense,$10.00
,Fuel,01/28/2020,Expense,$25.56
,Fuel,01/28/2020,Expense,$109.75
,Fuel,01/29/2020,Expense,$17.41
,Fuel,01/29/2020,Expense,$30.03
,Fuel,01/30/2020,Expense,$24.82
,Fuel,01/31/2020,Expense,$30.20
,Fuel,01/31/2020,Expense,$19.50
,Fuel,02/01/2020,Expense,$20.00
,Fuel,02/02/2020,Expense,$10.05
,Fuel,02/03/2020,Expense,$33.49
,Fuel,02/04/2020,Expense,$30.00
,Fuel,02/05/2020,Expense,$31.74
,Fuel,02/05/2020,Expense,$30.00
,Fuel,02/06/2020,Expense,$25.73
,Fuel,02/07/2020,Expense,$2.00
,Fuel,02/08/2020,Expense,$25.98
,Fuel,02/08/2020,Expense,$32.01
,Fuel,02/09/2020,Expense,$7.48
,Fuel,02/10/2020,Expense,$25.87
,Fuel,02/10/2020,Expense,$19.47
,Fuel,02/10/2020,Expense,$26.07
,Fuel,02/11/2020,Expense,$20.08
,Fuel,02/11/2020,Expense,$30.24
,Fuel,02/11/2020,Expense,$31.57
,Fuel,02/12/2020,Expense,$26.84
,Fuel,02/12/2020,Expense,$11.37
,Fuel,02/12/2020,Expense,$18.82
,Fuel,02/13/2020,Expense,$9.19
,Fuel,02/13/2020,Expense,$6.41
,Fuel,02/13/2020,Expense,$20.00
,Fuel,02/13/2020,Expense,$0.82
,Fuel,04/13/2020,Expense,$26.87
,Fuel,04/27/2020,Expense,$27.28
,Fuel,05/05/2020,Expense,$23.30
,Fuel,05/12/2020,Expense,$24.84
,Fuel,05/28/2020,Expense,$8.99
,Fuel,06/11/2020,Expense,$27.71
,Fuel,06/15/2020,Expense,$40.95
,Fuel,06/19/2020,Expense,$11.65
,Fuel,06/20/2020,Expense,$26.44
,Fuel,06/25/2020,Expense,$12.85
,Fuel,06/25/2020,Expense,$25.99
,Fuel,06/25/2020,Expense,$12.85
,Fuel,06/29/2020,Expense,$25.18
,Fuel,07/02/2020,Expense,$10.00
,Fuel,07/05/2020,Expense,$22.55
,Fuel,07/09/2020,Expense,$28.75
,Fuel,07/09/2020,Expense,$28.75
,Fuel,07/10/2020,Expense,$32.35
,Fuel,07/10/2020,Expense,$22.79
,Fuel,07/10/2020,Expense,$32.35
,Fuel,07/14/2020,Expense,$35.58
,Fuel,07/14/2020,Expense,$35.58
Total for Fuel,,,,"$2,434.42"
Travel,,,,
,Travel,10/16/2019,Expense,$400.00
,Travel,10/30/2019,Expense,$208.31
,Travel,10/30/2019,Expense,$386.00
Total for Travel,,,,$994.31
64300 Meals and Entertainment,,,,
,64300 Meals and Entertainment,05/29/2020,Expense,$165.00
,64300 Meals and Entertainment,07/08/2020,Expense,$68.36
Total for 64300 Meals and Entertainment,,,,$233.36
Administration,,,,
,Administration,06/09/2020,Expense,$1.48
,Administration,06/09/2020,Expense,$0.74
,Administration,06/10/2020,Expense,$5.99
,Administration,06/10/2020,Expense,$11.76
,Administration,06/10/2020,Expense,$21.19
Total for Administration,,,,$41.16
Employee Expense,,,,
,Employee Expense,07/08/2020,Expense,$21.93
Total for Employee Expense,,,,$21.93
66000 Payroll Expenses,,,,
Wages,,,,
,Wages,10/18/2019,Payroll Check,"$2,400.00"
,Wages,10/18/2019,Payroll Check,"$1,013.57"
,Wages,10/18/2019,Payroll Check,"$1,440.00"
,Wages,11/01/2019,Payroll Check,"$1,548.50"
,Wages,11/01/2019,Payroll Check,"$1,065.90"
,Wages,11/01/2019,Payroll Check,$240.00
,Wages,11/01/2019,Payroll Check,$669.71
,Wages,11/01/2019,Payroll Check,$63.05
,Wages,11/15/2019,Payroll Check,$416.00
