Natural Electric LLC,,,,
Clewiston Expenses,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
51400 Job Materials Purchased,,,,
,51400 Job Materials Purchased,09/24/2019,Bill,"$7,694.58"
,51400 Job Materials Purchased,10/01/2019,Bill,$936.25
,51400 Job Materials Purchased,10/02/2019,Bill,$160.85
,51400 Job Materials Purchased,10/08/2019,Bill,$92.05
,51400 Job Materials Purchased,10/08/2019,Bill,"$2,177.53"
,51400 Job Materials Purchased,10/08/2019,Bill,$65.15
,51400 Job Materials Purchased,10/10/2019,Bill,$352.08
,51400 Job Materials Purchased,10/10/2019,Bill,$30.73
,51400 Job Materials Purchased,10/15/2019,Bill,$10.24
,51400 Job Materials Purchased,10/15/2019,Bill,"$5,038.59"
,51400 Job Materials Purchased,10/15/2019,Bill,$44.02
,51400 Job Materials Purchased,10/15/2019,Bill,$661.64
,51400 Job Materials Purchased,10/15/2019,Bill,"$1,087.61"
,51400 Job Materials Purchased,10/15/2019,Bill,$239.14
,51400 Job Materials Purchased,10/18/2019,Bill,$292.30
,51400 Job Materials Purchased,10/24/2019,Expense,$14.91
,51400 Job Materials Purchased,10/26/2019,Expense,$14.97
,51400 Job Materials Purchased,10/26/2019,Expense,$17.93
,51400 Job Materials Purchased,10/30/2019,Bill,$183.78
,51400 Job Materials Purchased,10/31/2019,Bill,$129.27
,51400 Job Materials Purchased,11/06/2019,Expense,$15.57
,51400 Job Materials Purchased,11/07/2019,Bill,$672.08
,51400 Job Materials Purchased,11/07/2019,Bill,$298.86
,51400 Job Materials Purchased,11/07/2019,Bill,$170.95
,51400 Job Materials Purchased,11/11/2019,Bill,$224.70
,51400 Job Materials Purchased,11/11/2019,Bill,$881.52
,51400 Job Materials Purchased,11/11/2019,Bill,$730.96
,51400 Job Materials Purchased,11/12/2019,Bill,$253.90
,51400 Job Materials Purchased,11/12/2019,Bill,$209.09
,51400 Job Materials Purchased,11/13/2019,Bill,$672.08
,51400 Job Materials Purchased,11/13/2019,Expense,$8.54
,51400 Job Materials Purchased,11/15/2019,Bill,$14.43
,51400 Job Materials Purchased,11/15/2019,Expense,$24.77
,51400 Job Materials Purchased,11/19/2019,Bill,"$16,227.73"
,51400 Job Materials Purchased,11/20/2019,Bill,"$1,457.83"
,51400 Job Materials Purchased,11/20/2019,Expense,$2.54
,51400 Job Materials Purchased,11/21/2019,Bill,$71.49
,51400 Job Materials Purchased,11/21/2019,Expense,$6.36
,51400 Job Materials Purchased,11/25/2019,Bill,$285.25
,51400 Job Materials Purchased,12/02/2019,Bill,"$1,762.43"
,51400 Job Materials Purchased,12/02/2019,Bill,"$5,578.17"
,51400 Job Materials Purchased,12/03/2019,Bill,"$1,297.02"
,51400 Job Materials Purchased,12/17/2019,Bill,$866.55
,51400 Job Materials Purchased,12/18/2019,Bill,$98.04
,51400 Job Materials Purchased,12/20/2019,Expense,$6.89
,51400 Job Materials Purchased,12/30/2019,Bill,$403.63
,51400 Job Materials Purchased,12/31/2019,Vendor Credit,-$35.72
,51400 Job Materials Purchased,01/04/2020,Expense,$6.41
,51400 Job Materials Purchased,01/06/2020,Bill,"$1,415.47"
,51400 Job Materials Purchased,01/06/2020,Expense,$9.07
,51400 Job Materials Purchased,01/09/2020,Expense,$1.48
,51400 Job Materials Purchased,01/13/2020,Bill,$469.64
,51400 Job Materials Purchased,01/13/2020,Bill,$206.93
,51400 Job Materials Purchased,01/16/2020,Expense,$17.03
,51400 Job Materials Purchased,01/20/2020,Bill,"$1,415.99"
,51400 Job Materials Purchased,01/20/2020,Bill,"$9,436.28"
,51400 Job Materials Purchased,01/22/2020,Bill,$164.00
,51400 Job Materials Purchased,01/29/2020,Expense,$34.85
,51400 Job Materials Purchased,01/30/2020,Bill,$949.83
,51400 Job Materials Purchased,01/30/2020,Expense,$15.50
,51400 Job Materials Purchased,02/04/2020,Expense,$229.44
,51400 Job Materials Purchased,02/06/2020,Expense,$2.13
,51400 Job Materials Purchased,02/07/2020,Expense,$6.41
,51400 Job Materials Purchased,02/07/2020,Expense,$1.34
,51400 Job Materials Purchased,02/08/2020,Bill,"$1,123.50"
,51400 Job Materials Purchased,02/08/2020,Expense,$10.85
,51400 Job Materials Purchased,02/11/2020,Expense,$8.09
,51400 Job Materials Purchased,02/11/2020,Expense,$5.35
,51400 Job Materials Purchased,02/11/2020,Bill,$658.48
,51400 Job Materials Purchased,02/12/2020,Expense,$9.45
,51400 Job Materials Purchased,02/13/2020,Bill,$317.20
,51400 Job Materials Purchased,02/18/2020,Bill,$77.04
,51400 Job Materials Purchased,03/04/2020,Bill,"$2,142.54"
,51400 Job Materials Purchased,03/04/2020,Bill,"$9,253.98"
,51400 Job Materials Purchased,03/06/2020,Bill,$411.34
,51400 Job Materials Purchased,03/11/2020,Vendor Credit,-$199.42
,51400 Job Materials Purchased,03/12/2020,Bill,"$1,564.88"
,51400 Job Materials Purchased,03/18/2020,Bill,$383.12
,51400 Job Materials Purchased,03/25/2020,Bill,$317.89
,51400 Job Materials Purchased,04/01/2020,Bill,$587.68
,51400 Job Materials Purchased,04/02/2020,Expense,$7.80
,51400 Job Materials Purchased,04/03/2020,Expense,$15.28
,51400 Job Materials Purchased,04/10/2020,Expense,$11.62
,51400 Job Materials Purchased,04/11/2020,Expense,$7.05
,51400 Job Materials Purchased,04/14/2020,Expense,$1.82
,51400 Job Materials Purchased,04/14/2020,Expense,$25.04
,51400 Job Materials Purchased,04/15/2020,Expense,$24.76
,51400 Job Materials Purchased,04/15/2020,Expense,$13.89
,51400 Job Materials Purchased,04/21/2020,Expense,$10.69
,51400 Job Materials Purchased,04/22/2020,Bill,$329.40
,51400 Job Materials Purchased,04/22/2020,Expense,$25.62
,51400 Job Materials Purchased,04/23/2020,Expense,$7.64
,51400 Job Materials Purchased,04/24/2020,Expense,$10.69
,51400 Job Materials Purchased,04/27/2020,Expense,$9.35
,51400 Job Materials Purchased,04/27/2020,Expense,$10.68
,51400 Job Materials Purchased,04/28/2020,Bill,$539.03
,51400 Job Materials Purchased,04/29/2020,Bill,$697.34
,51400 Job Materials Purchased,04/29/2020,Expense,$14.99
,51400 Job Materials Purchased,04/29/2020,Expense,$5.94
,51400 Job Materials Purchased,04/29/2020,Expense,$6.40
,51400 Job Materials Purchased,04/30/2020,Expense,$5.13
,51400 Job Materials Purchased,04/30/2020,Expense,$3.84
,51400 Job Materials Purchased,04/30/2020,Expense,$16.04
,51400 Job Materials Purchased,05/01/2020,Bill,$39.04
,51400 Job Materials Purchased,05/04/2020,Expense,$22.98
,51400 Job Materials Purchased,05/05/2020,Expense,$20.76
,51400 Job Materials Purchased,05/06/2020,Expense,$23.29
,51400 Job Materials Purchased,05/06/2020,Expense,$29.07
,51400 Job Materials Purchased,05/08/2020,Expense,$3.64
,51400 Job Materials Purchased,05/08/2020,Expense,$9.62
,51400 Job Materials Purchased,05/10/2020,Expense,$3.15
,51400 Job Materials Purchased,05/10/2020,Expense,$17.67
,51400 Job Materials Purchased,05/11/2020,Expense,$6.36
,51400 Job Materials Purchased,05/11/2020,Expense,$9.62
,51400 Job Materials Purchased,05/11/2020,Expense,$12.21
,51400 Job Materials Purchased,05/11/2020,Bill,$569.49
,51400 Job Materials Purchased,05/11/2020,Bill,$338.12
,51400 Job Materials Purchased,05/12/2020,Expense,$20.08
,51400 Job Materials Purchased,05/12/2020,Expense,$2.12
,51400 Job Materials Purchased,05/12/2020,Bill,$98.56
,51400 Job Materials Purchased,05/13/2020,Expense,$19.24
,51400 Job Materials Purchased,05/13/2020,Bill,$76.93
,51400 Job Materials Purchased,05/13/2020,Bill,$275.55
,51400 Job Materials Purchased,05/14/2020,Expense,$6.94
,51400 Job Materials Purchased,05/14/2020,Expense,$218.17
,51400 Job Materials Purchased,05/16/2020,Expense,$15.32
,51400 Job Materials Purchased,05/16/2020,Expense,$18.18
,51400 Job Materials Purchased,05/17/2020,Expense,$12.80
,51400 Job Materials Purchased,05/17/2020,Expense,$15.80
,51400 Job Materials Purchased,05/19/2020,Expense,$299.56
,51400 Job Materials Purchased,05/19/2020,Expense,$11.52
,51400 Job Materials Purchased,05/19/2020,Expense,$36.59
,51400 Job Materials Purchased,05/19/2020,Expense,$13.53
,51400 Job Materials Purchased,05/20/2020,Bill,$361.98
,51400 Job Materials Purchased,05/21/2020,Expense,$21.87
,51400 Job Materials Purchased,05/21/2020,Expense,$23.51
,51400 Job Materials Purchased,05/22/2020,Expense,$36.29
,51400 Job Materials Purchased,05/22/2020,Expense,$12.70
,51400 Job Materials Purchased,05/26/2020,Expense,$18.79
,51400 Job Materials Purchased,05/27/2020,Expense,$38.04
,51400 Job Materials Purchased,05/28/2020,Expense,$22.19
,51400 Job Materials Purchased,05/29/2020,Expense,$11.31
,51400 Job Materials Purchased,05/29/2020,Expense,$9.19
,51400 Job Materials Purchased,05/29/2020,Expense,$15.52
,51400 Job Materials Purchased,05/29/2020,Expense,$11.95
,51400 Job Materials Purchased,05/30/2020,Expense,$19.25
,51400 Job Materials Purchased,06/03/2020,Expense,$11.42
,51400 Job Materials Purchased,06/03/2020,Expense,$36.37
,51400 Job Materials Purchased,06/04/2020,Expense,$26.62
,51400 Job Materials Purchased,06/04/2020,Expense,$12.53
,51400 Job Materials Purchased,06/04/2020,Expense,$38.93
,51400 Job Materials Purchased,06/05/2020,Bill,$661.51
,51400 Job Materials Purchased,06/05/2020,Expense,$10.19
,51400 Job Materials Purchased,06/08/2020,Expense,$36.37
,51400 Job Materials Purchased,06/09/2020,Bill,$196.40
,51400 Job Materials Purchased,06/09/2020,Bill,$51.34
,51400 Job Materials Purchased,06/09/2020,Bill,$872.85
,51400 Job Materials Purchased,06/09/2020,Expense,$0.74
,51400 Job Materials Purchased,06/09/2020,Expense,$1.48
,51400 Job Materials Purchased,06/09/2020,Expense,$24.16
,51400 Job Materials Purchased,06/10/2020,Bill,$100.17
,51400 Job Materials Purchased,06/10/2020,Bill,$162.65
,51400 Job Materials Purchased,06/10/2020,Expense,$9.38
,51400 Job Materials Purchased,06/10/2020,Expense,$21.19
,51400 Job Materials Purchased,06/10/2020,Expense,$11.76
,51400 Job Materials Purchased,06/10/2020,Expense,$5.99
,51400 Job Materials Purchased,06/10/2020,Expense,$39.78
,51400 Job Materials Purchased,06/10/2020,Expense,$2.22
,51400 Job Materials Purchased,06/10/2020,Expense,$5.12
,51400 Job Materials Purchased,06/10/2020,Expense,$5.12
,51400 Job Materials Purchased,06/10/2020,Expense,$2.22
,51400 Job Materials Purchased,06/11/2020,Bill,$393.63
,51400 Job Materials Purchased,06/11/2020,Bill,"$1,589.13"
,51400 Job Materials Purchased,06/11/2020,Expense,$203.64
,51400 Job Materials Purchased,06/11/2020,Expense,$18.71
,51400 Job Materials Purchased,06/11/2020,Expense,$7.21
,51400 Job Materials Purchased,06/11/2020,Expense,$5.02
,51400 Job Materials Purchased,06/11/2020,Expense,$7.21
,51400 Job Materials Purchased,06/12/2020,Bill,$42.01
,51400 Job Materials Purchased,06/12/2020,Expense,$10.23
,51400 Job Materials Purchased,06/12/2020,Expense,$19.24
,51400 Job Materials Purchased,06/12/2020,Expense,$3.39
,51400 Job Materials Purchased,06/12/2020,Expense,$13.59
,51400 Job Materials Purchased,06/12/2020,Expense,$3.39
,51400 Job Materials Purchased,06/13/2020,Expense,$7.62
,51400 Job Materials Purchased,06/13/2020,Expense,$27.80
,51400 Job Materials Purchased,06/13/2020,Expense,$9.34
,51400 Job Materials Purchased,06/13/2020,Expense,$5.94
,51400 Job Materials Purchased,06/13/2020,Expense,$27.80
,51400 Job Materials Purchased,06/13/2020,Expense,$7.62
,51400 Job Materials Purchased,06/14/2020,Expense,$15.28
,51400 Job Materials Purchased,06/14/2020,Expense,$15.28
,51400 Job Materials Purchased,06/15/2020,Expense,$190.08
,51400 Job Materials Purchased,06/15/2020,Expense,$8.39
,51400 Job Materials Purchased,06/15/2020,Expense,$42.90
,51400 Job Materials Purchased,06/15/2020,Expense,$42.90
,51400 Job Materials Purchased,06/15/2020,Expense,$8.39
,51400 Job Materials Purchased,06/16/2020,Bill,$188.53
,51400 Job Materials Purchased,06/16/2020,Expense,$0.96
,51400 Job Materials Purchased,06/16/2020,Expense,$19.32
,51400 Job Materials Purchased,06/16/2020,Expense,$38.80
,51400 Job Materials Purchased,06/16/2020,Expense,$9.81
,51400 Job Materials Purchased,06/16/2020,Bill,$151.57
,51400 Job Materials Purchased,06/16/2020,Expense,$9.81
,51400 Job Materials Purchased,06/16/2020,Expense,$38.80
,51400 Job Materials Purchased,06/16/2020,Expense,$19.32
,51400 Job Materials Purchased,06/16/2020,Expense,$0.96
,51400 Job Materials Purchased,06/17/2020,Expense,$51.34
,51400 Job Materials Purchased,06/17/2020,Expense,$46.69
,51400 Job Materials Purchased,06/17/2020,Expense,$7.68
,51400 Job Materials Purchased,06/17/2020,Expense,$5.07
,51400 Job Materials Purchased,06/17/2020,Bill,$501.32
,51400 Job Materials Purchased,06/18/2020,Expense,$8.53
,51400 Job Materials Purchased,06/18/2020,Bill,$96.57
,51400 Job Materials Purchased,06/18/2020,Bill,$236.96
,51400 Job Materials Purchased,06/19/2020,Expense,$13.28
,51400 Job Materials Purchased,06/19/2020,Expense,$63.77
,51400 Job Materials Purchased,06/20/2020,Expense,$12.60
,51400 Job Materials Purchased,06/21/2020,Expense,$8.38
,51400 Job Materials Purchased,06/21/2020,Expense,$10.58
,51400 Job Materials Purchased,06/22/2020,Expense,$39.64
,51400 Job Materials Purchased,06/24/2020,Expense,$6.84
,51400 Job Materials Purchased,06/25/2020,Bill,$386.40
,51400 Job Materials Purchased,06/25/2020,Expense,$2.99
,51400 Job Materials Purchased,06/25/2020,Expense,$5.00
,51400 Job Materials Purchased,06/26/2020,Expense,$12.50
,51400 Job Materials Purchased,06/27/2020,Expense,$30.28
,51400 Job Materials Purchased,06/27/2020,Expense,$30.28
,51400 Job Materials Purchased,06/28/2020,Expense,$3.38
,51400 Job Materials Purchased,06/30/2020,Expense,$33.16
,51400 Job Materials Purchased,06/30/2020,Expense,$33.16
,51400 Job Materials Purchased,07/01/2020,Expense,$60.21
,51400 Job Materials Purchased,07/02/2020,Expense,$2.53
,51400 Job Materials Purchased,07/02/2020,Expense,$39.44
,51400 Job Materials Purchased,07/02/2020,Expense,$2.53
,51400 Job Materials Purchased,07/04/2020,Expense,$19.25
,51400 Job Materials Purchased,07/06/2020,Bill,$674.10
,51400 Job Materials Purchased,07/07/2020,Bill,$220.09
,51400 Job Materials Purchased,07/07/2020,Bill,$145.70
,51400 Job Materials Purchased,07/08/2020,Expense,$13.47
,51400 Job Materials Purchased,07/08/2020,Expense,$21.93
,51400 Job Materials Purchased,07/08/2020,Expense,$48.14
,51400 Job Materials Purchased,07/08/2020,Expense,$122.96
,51400 Job Materials Purchased,07/08/2020,Expense,$330.29
,51400 Job Materials Purchased,07/08/2020,Expense,$330.29
,51400 Job Materials Purchased,07/08/2020,Expense,$4.17
,51400 Job Materials Purchased,07/09/2020,Bill,$248.76
,51400 Job Materials Purchased,07/09/2020,Expense,$100.00
,51400 Job Materials Purchased,07/09/2020,Expense,$3.53
,51400 Job Materials Purchased,07/09/2020,Expense,$18.58
,51400 Job Materials Purchased,07/09/2020,Expense,$29.00
,51400 Job Materials Purchased,07/09/2020,Expense,$26.10
,51400 Job Materials Purchased,07/10/2020,Bill,$147.00
,51400 Job Materials Purchased,07/10/2020,Expense,$3.53
,51400 Job Materials Purchased,07/13/2020,Expense,$9.62
,51400 Job Materials Purchased,07/13/2020,Expense,$37.78
,51400 Job Materials Purchased,07/14/2020,Expense,$9.70
,51400 Job Materials Purchased,07/21/2020,Bill,$112.19
,51400 Job Materials Purchased,08/23/2020,Vendor Credit,-$151.57
,51400 Job Materials Purchased,08/25/2020,Vendor Credit,-$378.36
,51400 Job Materials Purchased,09/03/2020,Bill,$59.94
,51400 Job Materials Purchased,09/04/2020,Bill,$12.52
,51400 Job Materials Purchased,09/14/2020,Vendor Credit,-$59.94
,51400 Job Materials Purchased,09/30/2020,Bill,$629.16
Total for 51400 Job Materials Purchased,,,,"$97,240.76"
PT Casual Labor,,,,
,PT Casual Labor,10/04/2019,Check,$324.00
,PT Casual Labor,06/05/2020,Expense,$136.00
,PT Casual Labor,06/08/2020,Expense,$136.00
,PT Casual Labor,06/29/2020,Expense,$195.00
,PT Casual Labor,07/13/2020,Expense,$200.00
Total for PT Casual Labor,,,,$991.00
50800 Equipment Rental for Jobs,,,,
,50800 Equipment Rental for Jobs,10/31/2019,Bill,"$1,391.50"
,50800 Equipment Rental for Jobs,02/03/2020,Bill,$548.42
,50800 Equipment Rental for Jobs,02/17/2020,Bill,"$1,565.73"
,50800 Equipment Rental for Jobs,04/09/2020,Bill,$318.26
,50800 Equipment Rental for Jobs,07/02/2020,Expense,"$16,187.00"
,50800 Equipment Rental for Jobs,07/08/2020,Bill,"$3,191.85"
Total for 50800 Equipment Rental for Jobs,,,,"$23,202.76"
,,,,"$121,434.52"

"Accrual Basis Monday, October 14, 2024 01:44 AM GMTZ",,,,
