Natural Electric LLC,,,,
Transaction Report,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
51400 Job Materials Purchased,,,,
,51400 Job Materials Purchased,03/28/2019,Bill,"$8,052.47"
,51400 Job Materials Purchased,04/01/2019,Bill,$924.55
,51400 Job Materials Purchased,04/01/2019,Bill,"$1,306.59"
,51400 Job Materials Purchased,04/01/2019,Bill,$700.32
,51400 Job Materials Purchased,04/01/2019,Bill,$424.47
,51400 Job Materials Purchased,04/01/2019,Bill,$225.69
,51400 Job Materials Purchased,04/01/2019,Bill,$26.12
,51400 Job Materials Purchased,04/01/2019,Bill,$16.71
,51400 Job Materials Purchased,04/02/2019,Bill,$417.30
,51400 Job Materials Purchased,04/09/2019,Bill,$539.27
,51400 Job Materials Purchased,04/17/2019,Bill,$18.72
,51400 Job Materials Purchased,04/17/2019,Bill,$106.17
,51400 Job Materials Purchased,04/18/2019,Bill,$669.99
,51400 Job Materials Purchased,05/07/2019,Bill,$198.98
,51400 Job Materials Purchased,09/24/2019,Bill,"$2,957.85"
,51400 Job Materials Purchased,09/25/2019,Bill,$870.70
,51400 Job Materials Purchased,09/30/2019,Bill,"$1,390.63"
,51400 Job Materials Purchased,09/30/2019,Bill,"$5,590.03"
,51400 Job Materials Purchased,09/30/2019,Bill,"$2,466.03"
,51400 Job Materials Purchased,10/01/2019,Bill,"$4,620.91"
,51400 Job Materials Purchased,10/03/2019,Expense,$2.68
,51400 Job Materials Purchased,10/03/2019,Expense,$21.47
,51400 Job Materials Purchased,10/07/2019,Expense,$29.03
,51400 Job Materials Purchased,10/09/2019,Bill,$876.08
,51400 Job Materials Purchased,10/09/2019,Bill,"$1,612.85"
,51400 Job Materials Purchased,10/10/2019,Expense,$23.62
,51400 Job Materials Purchased,10/10/2019,Expense,$42.45
,51400 Job Materials Purchased,10/15/2019,Bill,$699.40
,51400 Job Materials Purchased,10/15/2019,Bill,$71.58
,51400 Job Materials Purchased,10/15/2019,Bill,"$1,285.56"
,51400 Job Materials Purchased,10/16/2019,Expense,$41.30
,51400 Job Materials Purchased,10/18/2019,Bill,$814.06
,51400 Job Materials Purchased,10/24/2019,Expense,$58.74
,51400 Job Materials Purchased,10/26/2019,Bill,"$2,074.71"
,51400 Job Materials Purchased,10/28/2019,Bill,"$7,302.07"
,51400 Job Materials Purchased,10/29/2019,Bill,$104.13
,51400 Job Materials Purchased,10/29/2019,Bill,$633.85
,51400 Job Materials Purchased,10/29/2019,Bill,"$1,132.21"
,51400 Job Materials Purchased,10/30/2019,Bill,"$2,117.62"
,51400 Job Materials Purchased,10/31/2019,Expense,$203.15
,51400 Job Materials Purchased,10/31/2019,Bill,$352.33
,51400 Job Materials Purchased,10/31/2019,Bill,$15.00
,51400 Job Materials Purchased,11/11/2019,Bill,$103.09
,51400 Job Materials Purchased,11/12/2019,Bill,$57.34
,51400 Job Materials Purchased,11/13/2019,Bill,$493.13
,51400 Job Materials Purchased,11/13/2019,Bill,"$1,209.91"
,51400 Job Materials Purchased,11/13/2019,Expense,$22.58
,51400 Job Materials Purchased,11/14/2019,Bill,$716.90
,51400 Job Materials Purchased,11/19/2019,Expense,$18.75
,51400 Job Materials Purchased,11/20/2019,Bill,$352.33
,51400 Job Materials Purchased,11/20/2019,Bill,"$1,685.53"
,51400 Job Materials Purchased,11/20/2019,Bill,$325.67
,51400 Job Materials Purchased,11/20/2019,Bill,$106.11
,51400 Job Materials Purchased,11/21/2019,Bill,$262.33
,51400 Job Materials Purchased,11/25/2019,Bill,$490.80
,51400 Job Materials Purchased,12/03/2019,Bill,"$1,228.03"
,51400 Job Materials Purchased,12/03/2019,Expense,$44.61
,51400 Job Materials Purchased,12/04/2019,Bill,$96.60
,51400 Job Materials Purchased,12/05/2019,Expense,$22.52
,51400 Job Materials Purchased,12/06/2019,Bill,$47.14
,51400 Job Materials Purchased,12/09/2019,Bill,$437.07
,51400 Job Materials Purchased,12/10/2019,Expense,$246.55
,51400 Job Materials Purchased,12/11/2019,Expense,$11.78
,51400 Job Materials Purchased,12/11/2019,Expense,$14.58
,51400 Job Materials Purchased,12/12/2019,Bill,"$39,259.38"
,51400 Job Materials Purchased,12/19/2019,Expense,$38.26
,51400 Job Materials Purchased,12/19/2019,Expense,$88.71
,51400 Job Materials Purchased,12/27/2019,Vendor Credit,"-$1,612.85"
,51400 Job Materials Purchased,12/27/2019,Vendor Credit,"-$1,617.32"
,51400 Job Materials Purchased,12/27/2019,Vendor Credit,"-$4,620.91"
,51400 Job Materials Purchased,12/30/2019,Expense,$34.95
,51400 Job Materials Purchased,12/31/2019,Expense,$10.60
,51400 Job Materials Purchased,01/06/2020,Expense,$327.71
,51400 Job Materials Purchased,01/08/2020,Bill,$464.48
,51400 Job Materials Purchased,01/08/2020,Expense,$46.82
,51400 Job Materials Purchased,01/09/2020,Bill,$812.85
,51400 Job Materials Purchased,01/09/2020,Bill,$888.91
,51400 Job Materials Purchased,01/13/2020,Bill,$230.81
,51400 Job Materials Purchased,01/13/2020,Expense,$170.36
,51400 Job Materials Purchased,01/14/2020,Bill,"$1,906.05"
,51400 Job Materials Purchased,01/14/2020,Bill,$599.83
,51400 Job Materials Purchased,01/14/2020,Bill,$441.40
,51400 Job Materials Purchased,01/14/2020,Expense,$58.40
,51400 Job Materials Purchased,01/14/2020,Expense,$51.54
,51400 Job Materials Purchased,01/15/2020,Bill,$307.84
,51400 Job Materials Purchased,01/15/2020,Bill,$36.28
,51400 Job Materials Purchased,01/16/2020,Bill,$56.51
,51400 Job Materials Purchased,01/17/2020,Bill,"$1,178.19"
,51400 Job Materials Purchased,01/17/2020,Bill,"$1,909.47"
,51400 Job Materials Purchased,01/20/2020,Bill,$461.76
,51400 Job Materials Purchased,01/20/2020,Bill,$187.98
,51400 Job Materials Purchased,01/20/2020,Bill,$94.43
,51400 Job Materials Purchased,01/21/2020,Bill,$530.30
,51400 Job Materials Purchased,01/21/2020,Expense,$52.08
,51400 Job Materials Purchased,01/22/2020,Bill,$199.20
,51400 Job Materials Purchased,01/24/2020,Bill,"$1,909.47"
,51400 Job Materials Purchased,01/24/2020,Bill,"$2,032.26"
,51400 Job Materials Purchased,01/24/2020,Bill,"$2,925.86"
,51400 Job Materials Purchased,01/27/2020,Bill,"$1,411.69"
,51400 Job Materials Purchased,01/29/2020,Bill,$686.34
,51400 Job Materials Purchased,01/29/2020,Expense,$42.97
,51400 Job Materials Purchased,01/31/2020,Bill,$80.23
,51400 Job Materials Purchased,02/03/2020,Bill,$71.04
,51400 Job Materials Purchased,02/04/2020,Bill,$513.07
,51400 Job Materials Purchased,02/04/2020,Bill,$325.61
,51400 Job Materials Purchased,02/04/2020,Expense,$23.62
,51400 Job Materials Purchased,02/05/2020,Bill,$250.27
,51400 Job Materials Purchased,02/05/2020,Bill,$226.00
,51400 Job Materials Purchased,02/05/2020,Bill,$147.50
,51400 Job Materials Purchased,02/11/2020,Bill,$44.23
,51400 Job Materials Purchased,02/11/2020,Bill,$769.60
,51400 Job Materials Purchased,02/11/2020,Bill,$16.74
,51400 Job Materials Purchased,02/11/2020,Bill,"$1,078.45"
,51400 Job Materials Purchased,02/11/2020,Bill,$4.19
,51400 Job Materials Purchased,02/14/2020,Bill,$402.86
,51400 Job Materials Purchased,02/14/2020,Bill,$230.99
,51400 Job Materials Purchased,02/14/2020,Bill,$459.15
,51400 Job Materials Purchased,02/18/2020,Bill,"$1,473.37"
,51400 Job Materials Purchased,02/19/2020,Bill,"$2,097.31"
,51400 Job Materials Purchased,02/20/2020,Bill,"$2,500.00"
,51400 Job Materials Purchased,02/20/2020,Bill,"$1,303.95"
,51400 Job Materials Purchased,02/20/2020,Bill,$40.37
,51400 Job Materials Purchased,02/21/2020,Bill,$136.12
,51400 Job Materials Purchased,02/21/2020,Bill,$242.40
,51400 Job Materials Purchased,02/24/2020,Vendor Credit,-$251.83
,51400 Job Materials Purchased,02/25/2020,Bill,"$8,897.16"
,51400 Job Materials Purchased,02/28/2020,Bill,$960.66
,51400 Job Materials Purchased,03/01/2020,Bill,"$2,000.00"
,51400 Job Materials Purchased,03/02/2020,Bill,$78.05
,51400 Job Materials Purchased,03/02/2020,Bill,$598.18
,51400 Job Materials Purchased,03/03/2020,Bill,$568.80
,51400 Job Materials Purchased,03/05/2020,Bill,$156.20
,51400 Job Materials Purchased,03/10/2020,Bill,$75.18
,51400 Job Materials Purchased,03/11/2020,Bill,$18.88
,51400 Job Materials Purchased,03/12/2020,Bill,$315.75
,51400 Job Materials Purchased,03/16/2020,Bill,$98.63
,51400 Job Materials Purchased,03/17/2020,Bill,$723.24
,51400 Job Materials Purchased,03/18/2020,Bill,$36.43
,51400 Job Materials Purchased,03/18/2020,Bill,$157.02
,51400 Job Materials Purchased,03/18/2020,Bill,$646.99
,51400 Job Materials Purchased,03/18/2020,Bill,"$1,234.78"
