Natural Electric LLC,,,,
Transaction Report,,,,
All Dates,,,,

,Account,Date,Transaction type,Amount
Fuel,,,,
,Fuel,04/01/2019,Expense,$40.01
,Fuel,04/04/2019,Expense,$42.00
,Fuel,04/09/2019,Expense,$14.40
,Fuel,04/09/2019,Expense,$25.00
,Fuel,04/10/2019,Expense,$35.79
,Fuel,04/10/2019,Expense,$6.09
,Fuel,04/10/2019,Expense,$49.00
,Fuel,04/11/2019,Expense,$13.95
,Fuel,04/16/2019,Expense,$14.25
,Fuel,04/16/2019,Expense,$14.82
,Fuel,04/17/2019,Expense,$47.00
,Fuel,04/17/2019,Expense,$14.09
,Fuel,05/01/2019,Expense,$51.55
,Fuel,09/23/2019,Expense,$37.00
,Fuel,09/23/2019,Expense,$33.00
,Fuel,09/23/2019,Expense,$22.45
,Fuel,09/24/2019,Expense,$23.41
,Fuel,09/24/2019,Expense,$20.94
,Fuel,09/26/2019,Expense,$39.73
,Fuel,09/26/2019,Expense,$13.23
,Fuel,09/30/2019,Expense,$25.00
,Fuel,10/01/2019,Expense,$45.09
,Fuel,10/02/2019,Expense,$35.08
,Fuel,10/07/2019,Expense,$44.10
,Fuel,10/08/2019,Expense,$26.50
,Fuel,10/08/2019,Expense,$58.18
,Fuel,10/10/2019,Expense,$40.33
,Fuel,10/10/2019,Expense,$29.18
,Fuel,10/14/2019,Expense,$58.23
,Fuel,10/15/2019,Expense,$29.02
,Fuel,10/16/2019,Expense,$41.07
,Fuel,10/17/2019,Expense,$20.00
,Fuel,10/21/2019,Expense,$40.67
,Fuel,10/22/2019,Expense,$45.25
,Fuel,10/24/2019,Expense,$39.13
,Fuel,10/24/2019,Expense,$25.01
,Fuel,10/31/2019,Expense,$56.06
,Fuel,11/04/2019,Expense,$33.00
,Fuel,11/06/2019,Expense,$46.00
,Fuel,11/08/2019,Expense,$47.87
,Fuel,11/12/2019,Expense,$29.00
,Fuel,11/18/2019,Expense,$39.51
,Fuel,11/18/2019,Expense,$51.95
,Fuel,11/20/2019,Expense,$30.00
,Fuel,11/21/2019,Expense,$36.39
,Fuel,11/27/2019,Expense,$40.00
,Fuel,12/03/2019,Expense,$25.04
,Fuel,12/04/2019,Expense,$44.05
,Fuel,12/23/2019,Expense,$40.00
,Fuel,12/30/2019,Expense,$37.00
,Fuel,12/30/2019,Expense,$42.11
,Fuel,12/31/2019,Expense,$15.51
,Fuel,01/02/2020,Expense,$60.45
,Fuel,01/02/2020,Expense,$34.00
,Fuel,01/03/2020,Expense,$33.54
,Fuel,01/06/2020,Expense,$33.33
,Fuel,01/08/2020,Expense,$46.23
,Fuel,01/09/2020,Expense,$19.46
,Fuel,01/13/2020,Expense,$35.01
,Fuel,01/15/2020,Expense,$26.04
,Fuel,01/16/2020,Expense,$30.00
,Fuel,01/20/2020,Expense,$23.61
,Fuel,01/20/2020,Expense,$35.93
,Fuel,01/21/2020,Expense,$41.39
,Fuel,01/22/2020,Expense,$41.00
,Fuel,01/23/2020,Expense,$35.00
,Fuel,01/23/2020,Expense,$21.47
,Fuel,01/27/2020,Expense,$43.61
,Fuel,01/28/2020,Expense,$40.19
,Fuel,01/30/2020,Expense,$15.00
,Fuel,01/31/2020,Expense,$48.71
,Fuel,02/05/2020,Expense,$39.09
,Fuel,02/05/2020,Expense,$40.99
,Fuel,02/09/2020,Expense,$40.64
,Fuel,02/10/2020,Expense,$50.04
,Fuel,04/06/2020,Expense,$40.01
,Fuel,04/17/2020,Expense,$20.00
,Fuel,04/17/2020,Expense,$30.00
,Fuel,04/17/2020,Expense,$27.54
,Fuel,04/21/2020,Expense,$23.00
,Fuel,04/21/2020,Expense,$27.86
,Fuel,04/22/2020,Expense,$30.00
,Fuel,04/23/2020,Expense,$16.00
,Fuel,04/23/2020,Expense,$30.00
,Fuel,04/24/2020,Expense,$30.00
,Fuel,04/24/2020,Expense,$20.75
,Fuel,04/25/2020,Expense,$10.61
,Fuel,04/26/2020,Expense,$43.63
,Fuel,04/27/2020,Expense,$15.97
,Fuel,04/29/2020,Expense,$20.34
,Fuel,04/29/2020,Expense,$26.28
,Fuel,04/30/2020,Expense,$24.65
,Fuel,04/30/2020,Expense,$7.38
,Fuel,05/01/2020,Expense,$21.42
,Fuel,05/01/2020,Expense,$30.71
,Fuel,05/02/2020,Expense,$24.79
,Fuel,05/02/2020,Expense,$1.81
,Fuel,05/05/2020,Expense,$16.43
,Fuel,05/05/2020,Expense,$20.80
,Fuel,05/06/2020,Expense,$23.20
,Fuel,05/07/2020,Expense,$18.20
,Fuel,05/07/2020,Expense,$20.00
,Fuel,05/08/2020,Expense,$20.00
,Fuel,05/09/2020,Expense,$25.00
,Fuel,05/11/2020,Expense,$26.25
,Fuel,05/11/2020,Expense,$16.77
,Fuel,05/13/2020,Expense,$21.59
,Fuel,05/13/2020,Expense,$18.56
,Fuel,05/14/2020,Expense,$20.00
,Fuel,05/15/2020,Expense,$20.00
,Fuel,05/15/2020,Expense,$20.00
,Fuel,05/15/2020,Expense,$22.09
,Fuel,05/18/2020,Expense,$29.59
,Fuel,05/19/2020,Expense,$20.63
,Fuel,05/20/2020,Expense,$36.39
,Fuel,05/21/2020,Expense,$23.81
,Fuel,05/21/2020,Expense,$24.79
,Fuel,05/23/2020,Expense,$29.20
,Fuel,05/26/2020,Expense,$23.36
,Fuel,05/27/2020,Expense,$20.00
,Fuel,05/28/2020,Expense,$19.19
,Fuel,05/28/2020,Expense,$20.00
,Fuel,05/29/2020,Expense,$21.59
,Fuel,05/29/2020,Expense,$30.00
,Fuel,06/02/2020,Expense,$25.00
,Fuel,06/02/2020,Expense,$20.00
,Fuel,06/03/2020,Expense,$40.77
,Fuel,06/03/2020,Expense,$29.78
,Fuel,06/05/2020,Expense,$30.02
,Fuel,06/05/2020,Expense,$30.00
,Fuel,06/07/2020,Expense,$49.22
,Fuel,06/09/2020,Expense,$14.96
,Fuel,06/10/2020,Expense,$46.45
,Fuel,06/11/2020,Expense,$34.17
,Fuel,06/11/2020,Expense,$50.00
,Fuel,06/13/2020,Expense,$50.00
,Fuel,06/16/2020,Expense,$36.29
,Fuel,06/18/2020,Expense,$51.00
,Fuel,06/19/2020,Expense,$15.00
